Open,High,Low,Close,Volume
142.9,144.75,142.9,144.18,19201712
143.02,143.5,142.41,142.73,24128782
143.69,144.79,142.72,144.09,21569557
144.88,145.3,143.1,143.5,14277848
144.45,144.96,143.78,144.02,23024107
144.71,145.13,142.28,143.68,31499368
144.49,146.11,143.16,145.83,22082432
145.01,146.16,143.62,143.73,24761891
147.17,148.28,145.38,145.82,25692361
145.13,147.16,145.11,146.28,35439389
145.77,146.7,145.12,145.63,19106294
145.52,146.07,144.61,145.87,21265751
146.87,146.87,144.94,145.01,24900073
143.66,146.74,143.66,146.34,32541404
143.78,144.5,142.2,142.27,50361093
143.32,144.48,142.21,144.29,32165373
147.5,147.5,143.84,145.16,31531232
147.16,147.45,145.15,146.59,34165445
145.74,146.09,142.51,145.42,72307330
155.19,155.19,146.02,148.98,64882657
155.25,155.54,154.4,154.99,21250798
155.02,155.98,154.48,155.37,21069647
153.9,155.81,153.78,154.45,26624926
154.34,154.45,153.46,153.93,25331662
153.58,155.45,152.89,155.45,27770715
153.17,153.33,152.22,153.18,16404088
